Grid Search Results for Decision Tree Parameters
============================================================

Number of training samples: 1310
Number of features: 93
Number of classes: 3
Cross-validation folds: 5

Max Depth  Min Samples Split    Mean Accuracy   Std Dev    Time (s)  
------------------------------------------------------------
1          2                    0.600000      0.013527   0.01
1          3                    0.600000      0.013527   0.01
1          4                    0.600000      0.013527   0.01
1          5                    0.600000      0.013527   0.01
1          6                    0.600000      0.013527   0.01
1          7                    0.600000      0.013527   0.01
1          8                    0.600000      0.013527   0.01
1          9                    0.600000      0.013527   0.01
1          10                   0.600000      0.013527   0.01
1          11                   0.600000      0.013527   0.01
1          12                   0.600000      0.013527   0.01
1          13                   0.600000      0.013527   0.01
1          14                   0.600000      0.013527   0.01
1          15                   0.600000      0.013527   0.01
1          16                   0.600000      0.013527   0.01
1          17                   0.600000      0.013527   0.01
1          18                   0.600000      0.013527   0.01
1          19                   0.600000      0.013527   0.01
1          20                   0.600000      0.013527   0.01
2          2                    0.709160      0.022045   0.01
2          3                    0.709160      0.022045   0.01
2          4                    0.709160      0.022045   0.01
2          5                    0.709160      0.022045   0.01
2          6                    0.709160      0.022045   0.01
2          7                    0.709160      0.022045   0.01
2          8                    0.709160      0.022045   0.01
2          9                    0.709160      0.022045   0.01
2          10                   0.709160      0.022045   0.01
2          11                   0.709160      0.022045   0.01
2          12                   0.709160      0.022045   0.01
2          13                   0.709160      0.022045   0.01
2          14                   0.709160      0.022045   0.01
2          15                   0.709160      0.022045   0.01
2          16                   0.709160      0.022045   0.01
2          17                   0.709160      0.022045   0.01
2          18                   0.709160      0.022045   0.01
2          19                   0.709160      0.022045   0.01
2          20                   0.709160      0.022045   0.01
3          2                    0.767176      0.022256   0.01
3          3                    0.767176      0.022256   0.01
3          4                    0.767176      0.022256   0.02
3          5                    0.767176      0.022256   0.01
3          6                    0.767176      0.022256   0.01
3          7                    0.767176      0.022256   0.01
3          8                    0.767176      0.022256   0.01
3          9                    0.767176      0.022256   0.01
3          10                   0.767176      0.022256   0.01
3          11                   0.767176      0.022256   0.01
3          12                   0.767176      0.022256   0.01
3          13                   0.767176      0.022256   0.01
3          14                   0.767176      0.022256   0.01
3          15                   0.767176      0.022256   0.01
3          16                   0.767176      0.022256   0.01
3          17                   0.767176      0.022256   0.01
3          18                   0.767176      0.022256   0.01
3          19                   0.767176      0.022256   0.01
3          20                   0.767176      0.022256   0.01
4          2                    0.792366      0.031344   0.02
4          3                    0.792366      0.031344   0.02
4          4                    0.792366      0.031344   0.02
4          5                    0.792366      0.031344   0.02
